HotelName,City,District,Price,Type,Facilities
Annapurna Guest House,Dolakha,Dolakha,8079,Hostel,"Hot Water, Conference Room, Security"
"Alexander, Wong and Sawyer Hotel",Lamjung,Lamjung,9143,Boutique Hotel,"Laundry Service, Breakfast, Television"
Moore-Clay Hotel,Chitwan,Chitwan,9574,Eco-lodge,"Garden, Resturant, Laundry Service"
Annapurna Guest House,Kavrepalanchok,Kavrepalanchok,6314,Boutique Hotel,"Laundry Service, Conference Room, Parking"
Annapurna Guest House,Kapilvastu,Kapilvastu,3692,Motel,"Room ServiceFamily Rooms, Security, Tea/Coffee Maker"
Hotel Gorkha,Rukum East,Rukum East,5510,Resort,"Resturant, Swimming Pool, Air Conditioning"
Hotel Everest View,Rupandehi,Rupandehi,5149,Hotel,"Tea/Coffee Maker, Bar, Conference Room"
Rich Group Hotel,Sunsari,Sunsari,3531,Guest House,"Room ServiceFamily Rooms, Conference Room, Television"
"Clark, Edwards and Price Hotel",Kathmandu,Kathmandu,7750,Resort,"WiFi, Resturant, Bar"
Cruz Ltd Hotel,Dailekh,Dailekh,9102,Boutique Hotel,"Hot Water, WiFi, Television"
Murray Inc Hotel,Chitwan,Chitwan,8639,Guest House,"Laundry Service, Parking, Garden"
Morgan Group Hotel,Dadeldhura,Dadeldhura,3044,Hotel,"Breakfast, Air Conditioning, Laundry Service"
Taylor LLC Hotel,Dang,Dang,3900,Serviced Apartment,"Swimming Pool, Television, Resturant"
Everest Base Camp Lodge,Ilam,Ilam,9338,Hostel,"Security, Room ServiceFamily Rooms, Parking"
Lumbini Heritage Hotel,Palpa,Palpa,7306,Bed and Breakfast,"WiFi, Tea/Coffee Maker, Garden"
Coleman and Sons Hotel,Gulmi,Gulmi,1744,Resort,"WiFi, Swimming Pool, Garden"
Hotel Gorkha,Panchthar,Panchthar,8344,Mountain Lodge,"Hot Water, Air Conditioning, Television"
"Simpson, Meyer and Matthews Hotel",Kailali,Kailali,9392,Villa,"Hot Water, Bar, Conference Room"
Whitney-Lawson Hotel,Rupandehi,Rupandehi,5466,Cabin,"Parking, Hot Water, Garden"
Namaste Homestay,Dhanusha,Dhanusha,3550,Boutique Hotel,"Security, WiFi, Parking"
"Walters, Johnson and Santos Hotel",Wardha,Wardha,3989,Eco-lodge,"Tea/Coffee Maker, Laundry Service, Conference Room"
The Yak Lodge,Surkhet,Surkhet,9324,Guest House,"Conference Room, Parking, Television"
Hotel Janaki Palace,Rautahat,Rautahat,5480,Homestay,"Tea/Coffee Maker, Garden, Hot Water"
Everest Base Camp Lodge,Humla,Humla,9930,Boutique Hotel,"Breakfast, Swimming Pool, Garden"
Evans-Lewis Hotel,Bhaktapur,Bhaktapur,3244,Hostel,"Hot Water, Television, Room ServiceFamily Rooms"
Nepal Comfort Stay,Tanahun,Tanahun,3507,Eco-lodge,"Room ServiceFamily Rooms, Television, Parking"
Namaste Homestay,Surkhet,Surkhet,6833,Cabin,"Conference Room, Resturant, Security"
Pokhara Peace Lodge,Dadeldhura,Dadeldhura,2587,Villa,"Bar, Swimming Pool, WiFi"
Young-Cain Hotel,Mustang,Mustang,1366,Villa,"Tea/Coffee Maker, Television, Parking"
"Mcdowell, Vang and Phelps Hotel",Darchula,Darchula,8665,Cabin,"Tea/Coffee Maker, WiFi, Security"
The Yak Lodge,Darchula,Darchula,5201,Hotel,"Tea/Coffee Maker, Air Conditioning, Laundry Service"
Rivera PLC Hotel,Bhaktapur,Bhaktapur,2555,Hostel,"Breakfast, Tea/Coffee Maker, WiFi"
Himalayan Retreat,Dang,Dang,6059,Mountain Lodge,"Television, Conference Room, Tea/Coffee Maker"
Stupa View Inn,Chitwan,Chitwan,3862,Eco-lodge,"Security, Swimming Pool, WiFi"
Kathmandu Garden Inn,Khotang,Khotang,6012,Resort,"Conference Room, Room ServiceFamily Rooms, Tea/Coffee Maker"
Kathmandu Garden Inn,Kavrepalanchok,Kavrepalanchok,9537,Guest House,"Garden, Resturant, Breakfast"
Wolfe-Whitehead Hotel,Makwanpur,Makwanpur,2962,Hostel,"Room ServiceFamily Rooms, Garden, Resturant"
The Yak Lodge,Dang,Dang,6641,Serviced Apartment,"Bar, Resturant, Swimming Pool"
Hotel Janaki Palace,Darchula,Darchula,5245,Motel,"Bar, WiFi, Air Conditioning"
Hotel Everest View,Rasuwa,Rasuwa,3795,Cabin,"Parking, Laundry Service, Bar"
Meyer-Carrillo Hotel,Rasuwa,Rasuwa,5189,Lodge,"Room ServiceFamily Rooms, Television, Hot Water"
Lumbini Heritage Hotel,Sindhuli,Sindhuli,1559,Eco-lodge,"Laundry Service, Conference Room, Room ServiceFamily Rooms"
Pokhara Peace Lodge,Pyuthan,Pyuthan,1628,Serviced Apartment,"Bar, Breakfast, Security"
"Murphy, Ibarra and Campbell Hotel",Mahottari,Mahottari,6142,Bed and Breakfast,"Room ServiceFamily Rooms, Conference Room, Tea/Coffee Maker"
Clark Group Hotel,Nawalpur,Nawalpur,4754,Motel,"Swimming Pool, Resturant, Hot Water"
Stupa View Inn,Rasuwa,Rasuwa,5136,Guest House,"Parking, Tea/Coffee Maker, Laundry Service"
Stokes-Friedman Hotel,Gorkha,Gorkha,5855,Serviced Apartment,"Swimming Pool, Resturant, Conference Room"
"Richardson, Hardy and Moore Hotel",Tanahun,Tanahun,9588,Guest House,"Bar, Swimming Pool, Breakfast"
Everest Base Camp Lodge,Bhojpur,Bhojpur,6894,Serviced Apartment,"Bar, Resturant, Security"
"Wyatt, Baker and Young Hotel",Banke,Banke,3809,Lodge,"Bar, Garden, Breakfast"
Hotel Everest View,Sindhuli,Sindhuli,2570,Mountain Lodge,"Television, Security, Conference Room"
Austin and Sons Hotel,Ramechhap,Ramechhap,7610,Eco-lodge,"Resturant, Conference Room, Garden"
Everest Base Camp Lodge,Sindhuli,Sindhuli,3883,Hostel,"Hot Water, Swimming Pool, Conference Room"
Freeman-Ball Hotel,Bhojpur,Bhojpur,2358,Hotel,"Resturant, Hot Water, WiFi"
Maldonado LLC Hotel,Kanchanpur,Kanchanpur,9112,Motel,"Parking, Breakfast, Resturant"
"Anderson, Robinson and Little Hotel",Kapilvastu,Kapilvastu,1033,Lodge,"Tea/Coffee Maker, Parking, Breakfast"
Eco Himalaya Lodge,Panchthar,Panchthar,6930,Resort,"Resturant, Air Conditioning, Conference Room"
Peaceful Valley Resort,Dolpa,Dolpa,5501,Lodge,"Garden, Tea/Coffee Maker, Laundry Service"
Lumbini Heritage Hotel,Chitwan,Chitwan,7732,Serviced Apartment,"Air Conditioning, Hot Water, Television"
Eco Himalaya Lodge,Bara,Bara,5686,Eco-lodge,"Laundry Service, Bar, Conference Room"
Brown-Leonard Hotel,Chitwan,Chitwan,9949,Motel,"Air Conditioning, Parking, Television"
Gould and Sons Hotel,Sindhupalchok,Sindhupalchok,5357,Villa,"Garden, Swimming Pool, Breakfast"
Kathmandu Garden Inn,Khotang,Khotang,8531,Bed and Breakfast,"Television, Room ServiceFamily Rooms, Air Conditioning"
Hotel Gorkha,Saptari,Saptari,7727,Boutique Hotel,"Security, Parking, Breakfast"
Hotel Everest View,Parsa,Parsa,7470,Eco-lodge,"Breakfast, Garden, Room ServiceFamily Rooms"
Lumbini Heritage Hotel,Panchthar,Panchthar,2770,Guest House,"Tea/Coffee Maker, Conference Room, Security"
Fitzgerald-Mccall Hotel,Sankhuwasabha,Sankhuwasabha,4906,Cabin,"Hot Water, Resturant, Parking"
Pokhara Peace Lodge,Myagdi,Myagdi,3066,Resort,"Laundry Service, Resturant, Parking"
"Paul, Newman and Pineda Hotel",Darchula,Darchula,6785,Resort,"Conference Room, Room ServiceFamily Rooms, Air Conditioning"
"Phillips, Phillips and Thornton Hotel",Lamjung,Lamjung,6194,Serviced Apartment,"Air Conditioning, Breakfast, Room ServiceFamily Rooms"
Smith-Lee Hotel,Banke,Banke,1593,Motel,"WiFi, Garden, Security"
Pokhara Peace Lodge,Makwanpur,Makwanpur,3638,Resort,"Laundry Service, Security, Air Conditioning"
"Thompson, Lane and Watkins Hotel",Banke,Banke,7455,Eco-lodge,"Bar, Resturant, Television"
"Duncan, Oconnell and White Hotel",Jhapa,Jhapa,4759,Bed and Breakfast,"Television, Tea/Coffee Maker, Bar"
Mountain Sunrise Resort,Surkhet,Surkhet,5731,Cabin,"Laundry Service, Parking, Breakfast"
Johnson Group Hotel,Tanahun,Tanahun,1369,Villa,"Garden, Laundry Service, Air Conditioning"
Stupa View Inn,Dhanusha,Dhanusha,7806,Serviced Apartment,"Garden, Laundry Service, Breakfast"
Nepal Comfort Stay,Manang,Manang,9380,Hotel,"Parking, Breakfast, WiFi"
Nepal Comfort Stay,Syangja,Syangja,6973,Cabin,"Conference Room, Room ServiceFamily Rooms, Security"
Calhoun-Hamilton Hotel,Rupandehi,Rupandehi,4238,Hotel,"Resturant, Laundry Service, Swimming Pool"
Hotel Gorkha,Bardiya,Bardiya,8050,Mountain Lodge,"Conference Room, Bar, Tea/Coffee Maker"
"Johnson, Wagner and Smith Hotel",Mugu,Mugu,8449,Hotel,"WiFi, Laundry Service, Resturant"
"Chang, Smith and Diaz Hotel",Nawalpur,Nawalpur,8905,Resort,"WiFi, Conference Room, Garden"
Lumbini Heritage Hotel,Dolakha,Dolakha,8831,Cabin,"Swimming Pool, Tea/Coffee Maker, Hot Water"
Hotel Buddha,Morang,Morang,5953,Motel,"Bar, Tea/Coffee Maker, Hot Water"
"Kelley, Brewer and Davis Hotel",Walung,Walung,5335,Mountain Lodge,"Tea/Coffee Maker, Parking, Room ServiceFamily Rooms"
Kathmandu Garden Inn,Rukum East,Rukum East,5137,Eco-lodge,"Swimming Pool, Television, Room ServiceFamily Rooms"
Hotel Buddha,Kapilvastu,Kapilvastu,2115,Villa,"WiFi, Swimming Pool, Bar"
Hotel Janaki Palace,Chitwan,Chitwan,3037,Bed and Breakfast,"Security, Room ServiceFamily Rooms, Breakfast"
Everest Base Camp Lodge,Mugu,Mugu,3788,Mountain Lodge,"Television, WiFi, Hot Water"
Lambert Inc Hotel,Achham,Achham,5980,Cabin,"Conference Room, Garden, Room ServiceFamily Rooms"
Namaste Homestay,Darchula,Darchula,9471,Homestay,"Bar, Resturant, Garden"
Stanley-Munoz Hotel,Gulmi,Gulmi,5931,Bed and Breakfast,"Resturant, Tea/Coffee Maker, Parking"
Nepal Comfort Stay,Bardiya,Bardiya,8992,Villa,"Hot Water, Tea/Coffee Maker, Security"
Donaldson Inc Hotel,Dang,Dang,4024,Mountain Lodge,"Tea/Coffee Maker, Hot Water, Security"
Adams-Molina Hotel,Okhaldhunga,Okhaldhunga,2736,Guest House,"Parking, Conference Room, Tea/Coffee Maker"
Hotel Gorkha,Lamjung,Lamjung,4708,Motel,"Swimming Pool, Conference Room, WiFi"
Hotel Gorkha,Rasuwa,Rasuwa,7455,Boutique Hotel,"Garden, Room ServiceFamily Rooms, Parking"
Fernandez and Sons Hotel,Mugu,Mugu,1694,Homestay,"Bar, Swimming Pool, Security"
Carroll-Moore Hotel,Sarlahi,Sarlahi,2271,Motel,"WiFi, Parking, Hot Water"
Franklin Inc Hotel,Jumla,Jumla,5804,Mountain Lodge,"Conference Room, Tea/Coffee Maker, Parking"
Leblanc Group Hotel,Bardiya,Bardiya,6363,Mountain Lodge,"Air Conditioning, WiFi, Garden"
"Smith, Chase and Evans Hotel",Nuwakot,Nuwakot,9322,Hostel,"Hot Water, Tea/Coffee Maker, Breakfast"
Namaste Homestay,Dhading,Dhading,1249,Resort,"Garden, Room ServiceFamily Rooms, Bar"
Hotel Gorkha,Sarlahi,Sarlahi,2504,Motel,"Parking, Garden, Laundry Service"
Grimes LLC Hotel,Lamjung,Lamjung,5813,Lodge,"Swimming Pool, Hot Water, Garden"
Davis-Patterson Hotel,Rukum West,Rukum West,5323,Mountain Lodge,"Security, Laundry Service, WiFi"
Mountain Sunrise Resort,Panchthar,Panchthar,5755,Mountain Lodge,"Tea/Coffee Maker, Room ServiceFamily Rooms, Bar"
Annapurna Guest House,Bardiya,Bardiya,5863,Villa,"WiFi, Hot Water, Swimming Pool"
Peterson-Young Hotel,Rolpa,Rolpa,4654,Villa,"Garden, Security, Air Conditioning"
Annapurna Guest House,Surkhet,Surkhet,1854,Resort,"Breakfast, Swimming Pool, Air Conditioning"
Lumbini Heritage Hotel,Taplejung,Taplejung,6174,Bed and Breakfast,"Parking, Hot Water, Security"
Lumbini Heritage Hotel,Bhojpur,Bhojpur,2870,Villa,"Room ServiceFamily Rooms, Breakfast, Security"
Hotel Janaki Palace,Tanahun,Tanahun,9047,Hostel,"Air Conditioning, WiFi, Tea/Coffee Maker"
Everest Base Camp Lodge,Kapilvastu,Kapilvastu,1933,Cabin,"Tea/Coffee Maker, Swimming Pool, WiFi"
Everest Base Camp Lodge,Udayapur,Udayapur,3173,Hotel,"Laundry Service, Bar, Air Conditioning"
Himalayan Retreat,Dhankuta,Dhankuta,7878,Bed and Breakfast,"WiFi, Conference Room, Parking"
Eco Himalaya Lodge,Humla,Humla,9872,Eco-lodge,"Parking, Television, Garden"
Eco Himalaya Lodge,Rolpa,Rolpa,9684,Lodge,"Breakfast, Tea/Coffee Maker, Resturant"
Henderson Ltd Hotel,Dhading,Dhading,5875,Lodge,"Laundry Service, Security, WiFi"
Hotel Buddha,Manang,Manang,3846,Motel,"Hot Water, Conference Room, Garden"
Hotel Gorkha,Dhankuta,Dhankuta,2682,Motel,"Parking, Bar, Room ServiceFamily Rooms"
Lumbini Heritage Hotel,Saptari,Saptari,7131,Guest House,"Swimming Pool, Hot Water, Laundry Service"
"Wood, Shaw and Brown Hotel",Mahottari,Mahottari,8414,Homestay,"WiFi, Breakfast, Garden"
"Mcdonald, Gomez and Jackson Hotel",Humla,Humla,5337,Villa,"Security, Laundry Service, Room ServiceFamily Rooms"
Stupa View Inn,Makwanpur,Makwanpur,6318,Mountain Lodge,"Room ServiceFamily Rooms, Tea/Coffee Maker, Security"
The Yak Lodge,Siraha,Siraha,8572,Mountain Lodge,"Laundry Service, Hot Water, Room ServiceFamily Rooms"
Peaceful Valley Resort,Rautahat,Rautahat,1891,Bed and Breakfast,"Security, WiFi, Air Conditioning"
"Valencia, Harris and Peck Hotel",Jhapa,Jhapa,3628,Mountain Lodge,"Resturant, Bar, Breakfast"
Ross-Cantrell Hotel,Bara,Bara,7352,Eco-lodge,"WiFi, Tea/Coffee Maker, Bar"
Woods-Williams Hotel,Kapilvastu,Kapilvastu,8337,Homestay,"Laundry Service, Security, Room ServiceFamily Rooms"
Nepal Comfort Stay,Bhaktapur,Bhaktapur,1976,Lodge,"Tea/Coffee Maker, Parking, Garden"
Kathmandu Garden Inn,Tanahun,Tanahun,5978,Hostel,"Garden, Security, Tea/Coffee Maker"
Everest Base Camp Lodge,Sindhupalchok,Sindhupalchok,4033,Boutique Hotel,"Resturant, WiFi, Conference Room"
The Yak Lodge,Rasuwa,Rasuwa,1528,Homestay,"Parking, Conference Room, Breakfast"
"Obrien, Russell and Cantu Hotel",Chitwan,Chitwan,8863,Hotel,"Resturant, Hot Water, Bar"
Nepal Comfort Stay,Khotang,Khotang,5212,Lodge,"Security, Bar, Air Conditioning"
Kathmandu Garden Inn,Banke,Banke,3457,Bed and Breakfast,"WiFi, Conference Room, Security"
"Wilson, Poole and Anderson Hotel",Nuwakot,Nuwakot,5610,Bed and Breakfast,"Parking, Swimming Pool, Television"
Hotel Buddha,Bardiya,Bardiya,4701,Motel,"Room ServiceFamily Rooms, Hot Water, Breakfast"
"Rivera, Guerrero and Hall Hotel",Bhojpur,Bhojpur,8559,Bed and Breakfast,"Tea/Coffee Maker, Breakfast, Security"
Nepal Comfort Stay,Kanchanpur,Kanchanpur,8299,Homestay,"Bar, Swimming Pool, Resturant"
Lumbini Heritage Hotel,Morang,Morang,3004,Serviced Apartment,"Room ServiceFamily Rooms, Garden, Conference Room"
Johnson PLC Hotel,Pyuthan,Pyuthan,3816,Mountain Lodge,"Air Conditioning, Room ServiceFamily Rooms, Tea/Coffee Maker"
Lucero Inc Hotel,Ilam,Ilam,6449,Eco-lodge,"Resturant, Laundry Service, Tea/Coffee Maker"
Alvarado-Ray Hotel,Lalitpur,Lalitpur,6440,Lodge,"Television, Security, Room ServiceFamily Rooms"
Washington and Sons Hotel,Taplejung,Taplejung,4650,Eco-lodge,"Resturant, Conference Room, WiFi"
Eco Himalaya Lodge,Dhanusha,Dhanusha,5160,Villa,"Garden, Security, Swimming Pool"
Lumbini Heritage Hotel,Bardiya,Bardiya,1513,Guest House,"Conference Room, Laundry Service, Television"
"Flores, Pena and Smith Hotel",Sunsari,Sunsari,1023,Resort,"Swimming Pool, Tea/Coffee Maker, Security"
Stupa View Inn,Kaski,Kaski,9698,Guest House,"Television, Tea/Coffee Maker, Laundry Service"
Morrow-Dunn Hotel,Khotang,Khotang,3382,Cabin,"Garden, Room ServiceFamily Rooms, Tea/Coffee Maker"
"Thompson, Cook and Marsh Hotel",Sankhuwasabha,Sankhuwasabha,1581,Motel,"WiFi, Garden, Tea/Coffee Maker"
"Cole, Torres and Harris Hotel",Siraha,Siraha,3012,Motel,"Resturant, Laundry Service, Conference Room"
Leon-Matthews Hotel,Kailali,Kailali,6967,Guest House,"Security, Conference Room, Breakfast"
Parsons and Sons Hotel,Nuwakot,Nuwakot,7454,Lodge,"Garden, Television, Breakfast"
Everest Base Camp Lodge,Nawalpur,Nawalpur,1683,Cabin,"Laundry Service, Room ServiceFamily Rooms, Swimming Pool"
Terry-Rodriguez Hotel,Rukum East,Rukum East,2804,Homestay,"Hot Water, Conference Room, Room ServiceFamily Rooms"
Nepal Comfort Stay,Jumla,Jumla,9188,Mountain Lodge,"Swimming Pool, WiFi, Laundry Service"
"Rodriguez, Daniels and Morris Hotel",Bardiya,Bardiya,8247,Serviced Apartment,"Security, Air Conditioning, Laundry Service"
Annapurna Guest House,Rupandehi,Rupandehi,3743,Resort,"Tea/Coffee Maker, WiFi, Hot Water"
"Salas, Johnston and Ward Hotel",Palpa,Palpa,2205,Villa,"Parking, Tea/Coffee Maker, Bar"
Hotel Gorkha,Okhaldhunga,Okhaldhunga,4291,Hotel,"Room ServiceFamily Rooms, Air Conditioning, Resturant"
Stupa View Inn,Parbat,Parbat,8253,Resort,"Security, Hot Water, Parking"
House-Diaz Hotel,Pyuthan,Pyuthan,7462,Hotel,"WiFi, Television, Bar"
"Myers, Evans and Hamilton Hotel",Pyuthan,Pyuthan,1216,Eco-lodge,"Tea/Coffee Maker, Laundry Service, Swimming Pool"
Walton Inc Hotel,Dadeldhura,Dadeldhura,9895,Guest House,"Swimming Pool, Television, Garden"
Sharp Inc Hotel,Dhading,Dhading,2491,Cabin,"Hot Water, Tea/Coffee Maker, Air Conditioning"
"Sullivan, Santos and Ingram Hotel",Tanahun,Tanahun,7511,Boutique Hotel,"Bar, Conference Room, Breakfast"
Jenkins-Roberts Hotel,Kalikot,Kalikot,1436,Guest House,"Parking, Room ServiceFamily Rooms, Conference Room"
Everest Base Camp Lodge,Rautahat,Rautahat,9095,Guest House,"Television, Air Conditioning, Parking"
Hotel Buddha,Bara,Bara,6857,Motel,"Parking, Room ServiceFamily Rooms, WiFi"
Parker-Williams Hotel,Lamjung,Lamjung,7030,Guest House,"Resturant, Laundry Service, Conference Room"
Mendoza-Smith Hotel,Gulmi,Gulmi,9160,Villa,"Tea/Coffee Maker, Laundry Service, Conference Room"
Zhang-Carroll Hotel,Dang,Dang,1915,Guest House,"Bar, Parking, Security"
Murphy and Sons Hotel,Sarlahi,Sarlahi,5945,Guest House,"Room ServiceFamily Rooms, Security, Breakfast"
Mountain Sunrise Resort,Kalikot,Kalikot,3462,Serviced Apartment,"Parking, Air Conditioning, WiFi"
Lumbini Heritage Hotel,Rukum East,Rukum East,6332,Bed and Breakfast,"Conference Room, Television, Garden"
Kathmandu Garden Inn,Surkhet,Surkhet,5565,Villa,"Bar, Parking, Swimming Pool"
Kathmandu Garden Inn,Kalikot,Kalikot,7831,Mountain Lodge,"Hot Water, Resturant, Tea/Coffee Maker"
Kathmandu Garden Inn,Bardiya,Bardiya,6181,Homestay,"Parking, Tea/Coffee Maker, Garden"
Dickson-Johnson Hotel,Mustang,Mustang,5488,Guest House,"Conference Room, Air Conditioning, Parking"
Flores-Wagner Hotel,Darchula,Darchula,3921,Serviced Apartment,"Tea/Coffee Maker, Room ServiceFamily Rooms, WiFi"
Stout and Sons Hotel,Surkhet,Surkhet,5654,Lodge,"WiFi, Hot Water, Resturant"
Smith-Kelley Hotel,Manang,Manang,5476,Bed and Breakfast,"Bar, Security, Swimming Pool"
Lloyd Inc Hotel,Saptari,Saptari,5388,Boutique Hotel,"Breakfast, Security, Air Conditioning"
Haney-Pierce Hotel,Kapilvastu,Kapilvastu,8110,Lodge,"Parking, Television, Resturant"
"Fernandez, Jacobs and Cordova Hotel",Siraha,Siraha,9676,Lodge,"WiFi, Laundry Service, Television"
Eco Himalaya Lodge,Rukum East,Rukum East,4309,Hostel,"Breakfast, Air Conditioning, Laundry Service"
Annapurna Guest House,Surkhet,Surkhet,4943,Motel,"Room ServiceFamily Rooms, WiFi, Swimming Pool"
Fox-Hall Hotel,Nuwakot,Nuwakot,3713,Eco-lodge,"Bar, Breakfast, Swimming Pool"
Stupa View Inn,Mugu,Mugu,7345,Motel,"Bar, Breakfast, Resturant"
Townsend-Rios Hotel,Salyan,Salyan,6768,Lodge,"Security, Bar, Resturant"
Willis-Harper Hotel,Rukum East,Rukum East,7501,Hotel,"Security, Garden, Air Conditioning"
Everest Base Camp Lodge,Rasuwa,Rasuwa,4705,Cabin,"Television, Tea/Coffee Maker, Bar"
"Perkins, Rivera and Morales Hotel",Mugu,Mugu,1812,Resort,"Conference Room, Tea/Coffee Maker, Parking"
Peaceful Valley Resort,Kailali,Kailali,2231,Eco-lodge,"Room ServiceFamily Rooms, Parking, Laundry Service"
Scott-Moore Hotel,Kapilvastu,Kapilvastu,9577,Villa,"Security, Hot Water, Room ServiceFamily Rooms"
Stupa View Inn,Syangja,Syangja,4326,Homestay,"Security, Parking, Television"
Nepal Comfort Stay,Sindhupalchok,Sindhupalchok,2509,Homestay,"Breakfast, Room ServiceFamily Rooms, Security"
Nelson-Christensen Hotel,Panchthar,Panchthar,9245,Guest House,"Hot Water, Air Conditioning, Laundry Service"
Hotel Janaki Palace,Saptari,Saptari,4374,Mountain Lodge,"Parking, Resturant, Air Conditioning"
Martinez Group Hotel,Rolpa,Rolpa,7198,Mountain Lodge,"Room ServiceFamily Rooms, Tea/Coffee Maker, Resturant"
Higgins Ltd Hotel,Taplejung,Taplejung,4155,Bed and Breakfast,"Swimming Pool, Room ServiceFamily Rooms, Bar"
Boyd-Gibson Hotel,Surkhet,Surkhet,5581,Villa,"Parking, Laundry Service, Breakfast"
Eco Himalaya Lodge,Sunsari,Sunsari,9500,Lodge,"Security, WiFi, Conference Room"
Hotel Janaki Palace,Surkhet,Surkhet,4032,Homestay,"WiFi, Parking, Swimming Pool"
Himalayan Retreat,Makwanpur,Makwanpur,5353,Motel,"WiFi, Parking, Swimming Pool"
"Tran, Mason and Reed Hotel",Darchula,Darchula,9815,Villa,"Room ServiceFamily Rooms, Hot Water, WiFi"
Taylor Inc Hotel,Terhathum,Terhathum,1300,Villa,"Security, Resturant, Air Conditioning"
Martin-Phillips Hotel,Sunsari,Sunsari,8403,Hotel,"Parking, Television, Hot Water"
Morton and Sons Hotel,Chitwan,Chitwan,6796,Cabin,"Hot Water, Parking, Tea/Coffee Maker"
The Yak Lodge,Kalikot,Kalikot,7433,Cabin,"Breakfast, Security, Swimming Pool"
Annapurna Guest House,Salyan,Salyan,4982,Boutique Hotel,"Tea/Coffee Maker, Breakfast, Bar"
"Arnold, Barton and Rice Hotel",Rupandehi,Rupandehi,7575,Villa,"Bar, Garden, Resturant"
"Garrett, Wheeler and Sullivan Hotel",Lalitpur,Lalitpur,2413,Motel,"Conference Room, WiFi, Garden"
Nepal Comfort Stay,Taplejung,Taplejung,3052,Motel,"Security, Television, WiFi"
Hotel Everest View,Taplejung,Taplejung,7700,Bed and Breakfast,"Laundry Service, Hot Water, Security"
The Yak Lodge,Rukum West,Rukum West,8342,Serviced Apartment,"Breakfast, Television, Tea/Coffee Maker"
Eco Himalaya Lodge,Bardiya,Bardiya,4929,Mountain Lodge,"Breakfast, Laundry Service, Bar"
"White, Baxter and Lee Hotel",Sindhuli,Sindhuli,8813,Eco-lodge,"WiFi, Garden, Room ServiceFamily Rooms"
Namaste Homestay,Dailekh,Dailekh,6994,Hotel,"Breakfast, Room ServiceFamily Rooms, WiFi"
Himalayan Retreat,Siraha,Siraha,5797,Bed and Breakfast,"Television, Parking, Breakfast"
Barrett and Sons Hotel,Sarlahi,Sarlahi,9819,Homestay,"Hot Water, Tea/Coffee Maker, Resturant"
